13:19:19:387 [ALWAYS]	GUDE Logging Started
13:19:20:139 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:19:20:178 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:19:20:217 [ERROR]	Initialize resume cache pointer failure
13:19:20:256 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
13:19:20:294 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
13:19:25:976 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
13:19:26:015 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
13:19:26:053 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
13:19:26:111 [ERROR]	Initialize resume cache pointer failure
13:19:26:150 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
13:19:26:189 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
